transaction_dt,unique_trx_id,item_code,item_sr_no,item_mfg_dt,sale_price,disc_price,store_no,store_name,customer_id,customer_name,city,state,zip,brand,category
2021-05-01 08:12:45,TRX301,TV,SER12345,2021-04-01,1000,800,001,Electronics Emporium,CUST301,John Doe,New York,NY,10001,Samsung,
2021-05-02 10:30:22,TRX302,Mobile,MOB54321,2021-03-15,800,750,002,Online Electronics Store,CUST302,Jane Smith,Los Angeles,CA,90001,,Smartphone
2021-05-03 13:45:17,TRX303,Fridge,,2021-02-20,1200,1000,003,Gadgets Galore,CUST303,Michael Johnson,Chicago,IL,60601,LG,Appliance
2021-05-04 11:20:55,TRX304,Microwave,MIC98765,2021-01-05,400,,001,Electronics Emporium,CUST304,Emily Brown,Houston,TX,77001,Sony,Kitchen
2021-05-05 09:55:33,TRX305,Headphones,HDP24680,2020-12-15,,80,002,Online Electronics Store,CUST305,Robert Wilson,Miami,FL,33101,Apple,Audio
2021-05-06 14:10:11,TRX306,Tablet,,2020-11-25,600,550,003,Gadgets Galore,CUST306,Susan Martinez,San Francisco,CA,94101,,Tablet
2021-05-07 12:35:44,TRX307,TV,SER54321,2020-10-10,900,850,001,,CUST307,David Taylor,Dallas,TX,75201,Samsung,Television
2021-05-08 09:40:29,TRX308,Mobile,MOB98765,2020-09-05,700,650,002,Online Electronics Store,CUST308,Samantha Anderson,Seattle,WA,98101,Apple,Smartphone
2021-05-09 10:15:18,TRX309,Microwave,MIC75309,,350,300,003,Gadgets Galore,CUST309,Christopher Lee,Boston,MA,,Kitchen
2021-05-10 13:20:07,TRX310,Tablet,TBL97531,2020-07-20,550,500,001,Electronics Emporium,CUST310,Amanda White,Philadelphia,PA,19101,Microsoft,
